id,latitude,longitude
269767353,13.0148912,80.2267941
269767368,13.0144246,80.2262127
269767382,13.0157188,80.228272
269767388,13.0196572,80.2292201
269767389,13.0192934,80.2290627
269767390,13.0194656,80.229138
269767393,13.019066,80.2302233
269767394,13.0188622,80.2301376
269767396,13.018372,80.2299381
269767402,13.0197782,80.2288908
269767403,13.0194147,80.2287455
269767405,13.0198913,80.228572
269767407,13.0195393,80.2284215
269767408,13.0193272,80.2340714
269767409,13.0207675,80.2300461
269767410,13.0199887,80.2297596
269767422,13.0206104,80.2305241
269768005,13.0266853,80.2330185
269768027,13.0256253,80.232792
269768064,13.0268569,80.228708
269768067,13.0261592,80.229489
269768278,13.0287122,80.2346943
277501411,13.0205859,80.2137653
277911182,12.9813431,80.239672
277911188,12.9822483,80.23963
277911189,12.9821099,80.2398133
277911462,12.9835405,80.2313487
277911463,12.9838348,80.2308021
277911465,12.9849696,80.2309875
277911466,12.9855409,80.2308471
277911467,12.9857875,80.2286821
277911468,12.9860201,80.227654
277911472,12.9870692,80.2230567
277911475,12.9881142,80.2203267
277911476,12.9883431,80.2192208
277911477,12.9883073,80.2185055
277911479,12.9884057,80.2176869
277911482,12.9899355,80.2162177
277912040,12.9878045,80.2054838
277912041,12.9847007,80.2049754
277912863,12.9924453,80.2060226
277912866,12.9879339,80.2047748
278613467,13.0198085,80.2245859
278613475,13.0235682,80.2274963
278989902,13.0262942,80.2021239
278990057,13.0145676,80.2012193
278990058,13.0150204,80.199399
278990100,13.0202136,80.2022368
278990103,13.0218408,80.2082915
278990104,13.0250056,80.2090207
278990105,13.0254279,80.2069983
278990629,13.0251451,80.2045432
278990630,13.0252218,80.2036295
278990632,13.0226531,80.2032754
278990634,13.0219907,80.2032674
278990635,13.0206588,80.2034595
278990636,13.0202533,80.2035369
278990638,13.0181219,80.2030144
278990640,13.0172519,80.2019241
278990887,13.0179715,80.2037664
278990888,13.0176611,80.2056407
279610134,12.9827294,80.2618754
279610136,12.9799209,80.2616185
279610139,12.9774363,80.2620094
279610140,12.9740177,80.2633809
280088650,13.0215627,80.2093489
280088651,13.017237,80.2085483
280088653,13.0160317,80.2154695
280089107,13.0269338,80.2255305
280089108,13.0266852,80.2268109
280089630,12.9814112,80.2419069
291018468,12.9869345,80.2136016
291192573,12.9995082,80.2536578
291192621,12.9981867,80.2536237
291192686,12.9972774,80.2517819
291192859,12.9975668,80.2546793
291192861,12.9994935,80.2553193
291193234,12.9981653,80.2552843
291193235,12.9972765,80.2540676
291294776,13.0007593,80.2631665
291295144,13.0004363,80.2642525
291295296,13.0027845,80.2648852
291295329,13.0024697,80.2672149
291295419,13.0018678,80.2668242
291295436,13.0031958,80.2656501
291295494,13.0026217,80.26537
291295940,13.0026861,80.2722686
299382574,12.9863579,80.204218
299382591,12.9861882,80.2052195
299382594,12.9859084,80.2074189
299382713,12.9862536,80.207451
299382716,12.9861993,80.2083328
299382730,12.9860485,80.2134553
299382813,12.9873359,80.2053913
299382923,12.984934,80.2077348
299382925,12.9854653,80.2050952
299383020,12.9855181,80.2074303
299383030,12.9858202,80.2051565
299383040,12.9854249,80.2078212
299383048,12.9855041,80.2098972
299383049,12.9855017,80.2103135
299383101,12.9839602,80.2048945
299383104,12.9838871,80.205774
299383124,12.9837605,80.2070478
299383231,12.9834838,80.2070382
299383238,12.9830658,80.2070151
299383250,12.9829123,80.2103166
299383331,12.9818813,80.2068777
299383745,12.9859081,80.2037934
299383975,12.9854255,80.2037123
299383985,12.9851861,80.2050456
299384037,12.9849092,80.2038549
299384649,12.9835031,80.2048598
299385733,12.9844771,80.2037804
299385739,12.9843539,80.2049417
299385745,12.984276,80.2058157
299385806,12.9873965,80.2104598
299385811,12.9861877,80.2103774
299385830,12.9832378,80.2064929
299385837,12.9819114,80.2063373
299385851,12.9839193,80.2053707
299385934,12.9958586,80.2102819
299386096,12.9914284,80.213877
299386190,12.9892626,80.2146595
299386209,12.9887915,80.2153683
299800433,12.9960382,80.2703676
299800482,13.0002929,80.2652571
299800531,12.9977868,80.2674886
299800637,12.9956493,80.2678276
299800669,13.0029526,80.2712594
299800692,13.0029013,80.2714589
299800783,12.9999947,80.2708119
299800791,13.0001939,80.2690187
299800806,12.9996068,80.2707688
299800822,12.9987975,80.2693882
299800830,12.9993526,80.267066
299801211,12.9971323,80.2693917
299801214,12.9972162,80.2686843
299801222,12.996719,80.2686224
299805210,12.9997897,80.2646347
299805216,12.999181,80.2645649
299805219,12.9991326,80.2651131
299805265,12.9961527,80.2633529
299805278,12.9965144,80.2648013
299805281,12.996759,80.263086
299805288,12.9968606,80.2619864
299805319,12.9977297,80.2621187
299805328,12.9976124,80.2631118
299805339,12.9986428,80.263329
299805348,12.999286,80.2623996
299805350,12.9990774,80.2634183
299805352,12.9995579,80.2632886
299805354,12.9997159,80.2625509
299805374,12.9992072,80.2642972
299805377,13.0012475,80.266185
299805382,13.0020602,80.2646982
299805393,13.0025068,80.2633221
299805457,13.002266,80.2675501
299805480,13.0011101,80.2667956
299805481,13.001305,80.2664595
299805493,13.0028311,80.2633581
299805502,13.0026971,80.2639522
299808129,13.0002373,80.2668722
299877788,12.9775817,80.2104609
299877804,12.9773865,80.2122525
